ax,ay,az,gx,gy,gz,mx,my,mz,ts_lowg,hg_ax,hg_ay,hg_az,ts_highg,latitude,longitude,altitude,GPS Lock,ts_gps,state_q0,state_q1,state_q2,state_q3,state_x,state_y,state_z,state_vx,state_vy,state_vz,state_ax,state_ay,state_az,state_omegax,state_omegay,state_omegaz,state_latitude,state_longitude,ts_state,rocketState,ts_RS
-0.2869440019130707,0.005123999901115894,0.9757559895515442,1.5225000381469727,-2.887500047683716,1.9075000286102295,0.39452001452445984,0.31793999671936035,-0.5054000020027161,111,-0.0126953125,0.28369140625,0.98486328125,112,0.0,0.0,0.0,False,110,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.2913359999656677,-0.0014639999717473984,0.9698999524116516,1.5575000047683716,-2.8787500858306885,1.5924999713897705,0.3964800238609314,0.32199999690055847,-0.5013400316238403,121,-0.013671875,0.2861328125,0.98779296875,122,0.0,0.0,0.0,False,120,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.2840159833431244,-0.0007319999858736992,0.9779520034790039,1.75,-2.8350000381469727,1.5575000047683716,0.39368000626564026,0.31752002239227295,-0.5059599876403809,129,-0.0126953125,0.2783203125,0.99072265625,130,0.0,0.0,0.0,False,128,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.28840798139572144,0.0058559998869895935,0.9764879941940308,1.5575000047683716,-2.9749999046325684,1.7062499523162842,0.39480000734329224,0.31668001413345337,-0.5047000050544739,137,-0.01025390625,0.2548828125,0.9853515625,138,0.0,0.0,0.0,False,136,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.27889198064804077,0.003659999929368496,0.9779520034790039,1.6712499856948853,-2.9574999809265137,1.5137499570846558,0.39326000213623047,0.32396000623703003,-0.5091800093650818,145,-0.009765625,0.25537109375,0.982421875,146,0.0,0.0,0.0,False,144,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.28547999262809753,-0.0029279999434947968,0.9691680073738098,1.6362500190734863,-2.913749933242798,1.6974999904632568,0.3922800123691559,0.32199999690055847,-0.5023199915885925,155,-0.013671875,0.271484375,0.98193359375,156,0.0,0.0,0.0,False,154,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.28474798798561096,-0.0021959999576210976,0.9808799624443054,1.5750000476837158,-2.8524999618530273,1.5487500429153442,0.39368000626564026,0.32269999384880066,-0.50736004114151,163,-0.015625,0.2763671875,0.98876953125,164,0.0,0.0,0.0,False,162,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.28474798798561096,0.0014639999717473984,0.9713639616966248,1.6100000143051147,-3.106250047683716,1.5750000476837158,0.3911600112915039,0.3201799988746643,-0.5081999897956848,171,-0.02001953125,0.27099609375,0.990234375,172,0.0,0.0,0.0,False,170,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.2810879945755005,-0.0014639999717473984,0.9713639616966248,1.8025000095367432,-2.8787500858306885,1.5137499570846558,0.39298000931739807,0.32354000210762024,-0.5077800154685974,181,-0.01025390625,0.28759765625,0.9814453125,182,0.0,0.0,0.0,False,180,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.2920680046081543,0.0,0.9830759763717651,1.4612499475479126,-2.773750066757202,1.715000033378601,0.39298000931739807,0.32802000641822815,-0.5094600319862366,189,-0.00439453125,0.2958984375,0.96826171875,190,0.0,0.0,0.0,False,188,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
-0.28547999262809753,-0.004391999915242195,0.9830759763717651,1.8637499809265137,-2.625,1.627500057220459,0.39465999603271484,0.3242399990558624,-0.5087600350379944,197,-0.00830078125,0.30224609375,0.97119140625,198,0.0,0.0,0.0,False,196,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,14660154687488.0,1431655765,1431655765,1431655765
