has_lowG_data,lowG_data.ax,lowG_data.ay,lowG_data.az,lowG_data.gx,lowG_data.gy,lowG_data.gz,lowG_data.timeStamp_lowG,has_highG_data,highG_data.hg_ax,highG_data.hg_ay,highG_data.hg_az,highG_data.timeStamp_highG,has_gps_data,gps_data.latitude,gps_data.longitude,gps_data.altitude,gps_data.siv_count,gps_data.fix_type,gps_data.posLock,gps_data.timeStamp_GPS,has_barometer_data,barometer_data.temperature,barometer_data.pressure,barometer_data.altitude,barometer_data.timeStamp_barometer,has_kalman_data,kalman_data.kalman_pos_x,kalman_data.kalman_vel_x,kalman_data.kalman_acc_x,kalman_data.kalman_pos_y,kalman_data.kalman_vel_y,kalman_data.kalman_acc_y,kalman_data.kalman_pos_z,kalman_data.kalman_vel_z,kalman_data.kalman_acc_z,kalman_data.kalman_apo,kalman_data.timeStamp_state,has_rocketState_data,rocketState_data.rocketStates,rocketState_data.timestamp,has_flap_data,flap_data.extension,flap_data.timeStamp_flaps,has_voltage_data,voltage_data.v_battery,voltage_data.timestamp,has_orientation_data,orientation_data.accel.ax,orientation_data.accel.ay,orientation_data.accel.az,orientation_data.gyro.gx,orientation_data.gyro.gy,orientation_data.gyro.gz,orientation_data.magnet.mx,orientation_data.magnet.my,orientation_data.magnet.mz,orientation_data.angle.yaw,orientation_data.angle.pitch,orientation_data.angle.roll,orientation_data.timeStamp_orientation,has_magnetometer_data,magnetometer_data.magnetometer.mx,magnetometer_data.magnetometer.my,magnetometer_data.magnetometer.mz,magnetometer_data.timestamp,has_gas_data,gas_data.temp,gas_data.humidity,gas_data.pressure,gas_data.resistance,gas_data.timestamp
True,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,True,0.0,0.0,0.0,4,3,True,0,True,0.0,0.0,inf,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_IDLE,0,False,0.0,0,True,9.0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,0.0,0.0,0,0,0
True,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0,0,False,0,True,0.0,0.0,inf,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_IDLE,0,False,0.0,0,True,9.0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,0.0,0.0,0,0,0
True,-0.35964295268058777,0.280294269323349,9.843876838684082,0.0013360612792894244,-0.004266371950507164,0.005625320598483086,0,True,-0.35964295268058777,0.280294269323349,9.843876838684082,0,False,0.0,0.0,0.0,0,0,False,0,True,288.1499938964844,62.39725875854492,45768.53515625,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_IDLE,0,False,0.0,0,True,9.0,0,True,-0.35964295268058777,0.280294269323349,9.843876838684082,0.0013360612792894244,-0.004266371950507164,0.005625320598483086,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,288.1499938964844,0.0,62,0,0
True,-0.45246604084968567,0.3316413462162018,9.779155731201172,-0.007946250028908253,0.0008683351916261017,-0.0008468026644550264,0,True,-0.45246604084968567,0.3316413462162018,9.779155731201172,0,False,0.0,0.0,0.0,0,0,False,0,True,288.1499938964844,42.17617416381836,52199.79296875,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_LAUNCH_DETECT,0,False,0.0,0,True,9.0,0,True,-0.45246604084968567,0.3316413462162018,9.779155731201172,-0.007946250028908253,0.0008683351916261017,-0.0008468026644550264,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,288.1499938964844,0.0,42,0,0
True,-0.41009944677352905,0.3401850461959839,9.964950561523438,-0.0037095905281603336,0.0017227058997377753,0.017732663080096245,0,True,-0.41009944677352905,0.3401850461959839,9.964950561523438,0,False,0.0,0.0,0.0,0,0,False,0,True,288.1499938964844,-11.657315254211426,nan,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_LAUNCH_DETECT,0,False,0.0,0,True,9.0,0,True,-0.41009944677352905,0.3401850461959839,9.964950561523438,-0.0037095905281603336,0.0017227058997377753,0.017732663080096245,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,288.1499938964844,0.0,4294967285,0,0
True,-0.30620795488357544,0.3315432667732239,9.849184036254883,0.006679560989141464,0.0008585274335928261,0.006156005430966616,0,True,-0.30620795488357544,0.3315432667732239,9.849184036254883,0,False,0.0,0.0,0.0,0,0,False,0,True,288.1499938964844,-70.46257019042969,nan,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_LAUNCH_DETECT,0,False,0.0,0,True,9.0,0,True,-0.30620795488357544,0.3315432667732239,9.849184036254883,0.006679560989141464,0.0008585274335928261,0.006156005430966616,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,288.1499938964844,0.0,4294967226,0,0
True,-0.3611191511154175,0.4471321702003479,9.781838417053223,0.0011884408304467797,0.012417417019605637,-0.0005784952081739902,0,True,-0.3611191511154175,0.4471321702003479,9.781838417053223,0,False,0.0,0.0,0.0,0,0,False,0,True,288.1499938964844,-16.840147018432617,nan,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_LAUNCH_DETECT,0,False,0.0,0,True,9.0,0,True,-0.3611191511154175,0.4471321702003479,9.781838417053223,0.0011884408304467797,0.012417417019605637,-0.0005784952081739902,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,288.1499938964844,0.0,4294967280,0,0
True,-0.28542208671569824,0.047300685197114944,9.932154655456543,0.00875814538449049,-0.0275657307356596,0.014453127980232239,0,True,-0.28542208671569824,0.047300685197114944,9.932154655456543,0,False,0.0,0.0,0.0,0,0,False,0,True,288.1499938964844,127.86994171142578,33987.1171875,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_LAUNCH_DETECT,0,False,0.0,0,True,9.0,0,True,-0.28542208671569824,0.047300685197114944,9.932154655456543,0.00875814538449049,-0.0275657307356596,0.014453127980232239,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,288.1499938964844,0.0,127,0,0
True,-0.4013419449329376,0.4533018469810486,9.761882781982422,-0.002833838341757655,0.01303438562899828,-0.0025740780401974916,0,True,-0.4013419449329376,0.4533018469810486,9.761882781982422,0,False,0.0,0.0,0.0,0,0,False,0,True,288.1499938964844,-25.99828338623047,nan,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_LAUNCH_DETECT,0,False,0.0,0,True,9.0,0,True,-0.4013419449329376,0.4533018469810486,9.761882781982422,-0.002833838341757655,0.01303438562899828,-0.0025740780401974916,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,288.1499938964844,0.0,4294967271,0,0
True,-0.54966139793396,0.3906170427799225,10.04467487335205,-0.017665784806013107,0.006765906233340502,0.025705154985189438,0,True,-0.54966139793396,0.3906170427799225,10.04467487335205,0,False,0.0,0.0,0.0,0,0,False,0,True,288.1499938964844,152.5774688720703,31086.330078125,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,STATE_LAUNCH_DETECT,0,False,0.0,0,True,9.0,0,True,-0.54966139793396,0.3906170427799225,10.04467487335205,-0.017665784806013107,0.006765906233340502,0.025705154985189438,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0.0,0.0,0.0,0,True,0.0006850257050246,0.9993147850036621,-0.03700152039527893,0,True,288.1499938964844,0.0,152,0,0
