ax,ay,az,gx,gy,gz,mx,my,mz,hg_ax,hg_ay,hg_az,latitude,longitude,altitude,GPS Lock,rocketState,timeStamp
-0.9845399856567383,-0.02781599946320057,0.16396799683570862,1.6449999809265137,-2.4937500953674316,1.408750057220459,-0.15820001065731049,-0.06496000289916992,-0.3469200134277344,0.0,0.0,0.0,0.0,0.0,0.0,False,0,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029296875,1.0166015625,0.19775390625,0.0,0.0,0.0,False,0,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,21
-0.9874680042266846,-0.011711999773979187,0.1727519929409027,1.5225000381469727,-2.257499933242798,1.3387500047683716,-0.16016000509262085,-0.06509999930858612,-0.3511199951171875,0.0,0.0,0.0,0.0,0.0,0.0,False,0,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00732421875,1.02587890625,0.20751953125,0.0,0.0,0.0,False,0,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,38
-0.9977160096168518,-0.01903199963271618,0.15664799511432648,1.4262499809265137,-2.2225000858306885,1.4874999523162842,-0.15455999970436096,-0.06552000343799591,-0.35406002402305603,0.0,0.0,0.0,0.0,0.0,0.0,False,0,58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009765625,0.9921875,0.2236328125,0.0,0.0,0.0,False,0,59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,56
-0.9955199956893921,-0.011711999773979187,0.16835999488830566,1.4524999856948853,-2.266249895095825,1.1549999713897705,-0.15666000545024872,-0.05795999988913536,-0.34747999906539917,0.0,0.0,0.0,0.0,0.0,0.0,False,0,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0234375,0.9892578125,0.1943359375,0.0,0.0,0.0,False,0,76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,73
-1.0057679414749146,-0.019763998687267303,0.1668960005044937,1.7062499523162842,-2.2750000953674316,1.2337499856948853,-0.163100004196167,-0.06440000236034393,-0.34398001432418823,0.0,0.0,0.0,0.0,0.0,0.0,False,0,92
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025390625,0.99365234375,0.19140625,0.0,0.0,0.0,False,0,93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,90
-0.9918599724769592,-0.01903199963271618,0.17128799855709076,1.6012500524520874,-2.2487499713897705,1.2512500286102295,-0.15848000347614288,-0.058240000158548355,-0.35420000553131104,0.0,0.0,0.0,0.0,0.0,0.0,False,0,110
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009765625,1.0009765625,0.19921875,0.0,0.0,0.0,False,0,111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,108
-0.9903959631919861,-0.01903199963271618,0.1676279902458191,1.6449999809265137,-2.484999895095825,1.4175000190734863,-0.15876001119613647,-0.05726000294089317,-0.34832000732421875,0.0,0.0,0.0,0.0,0.0,0.0,False,0,127
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087890625,1.0166015625,0.197265625,0.0,0.0,0.0,False,0,128
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,125
-0.9918599724769592,-0.02635199949145317,0.17933999001979828,1.6362500190734863,-2.0737500190734863,1.2337499856948853,-0.1469999998807907,-0.06356000155210495,-0.3547600209712982,0.0,0.0,0.0,0.0,0.0,0.0,False,0,144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02099609375,1.01220703125,0.2001953125,0.0,0.0,0.0,False,0,145
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,142
-0.9911279678344727,-0.010979999788105488,0.1756799966096878,1.7062499523162842,-2.213750123977661,1.347499966621399,-0.1576400101184845,-0.061879999935626984,-0.3560200035572052,0.0,0.0,0.0,0.0,0.0,0.0,False,0,162
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0107421875,1.00732421875,0.21875,0.0,0.0,0.0,False,0,163
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,160
-0.9911279678344727,-0.013175999745726585,0.18226799368858337,1.5575000047683716,-2.432500123977661,1.4262499809265137,-0.1527400016784668,-0.06720000505447388,-0.3550400137901306,0.0,0.0,0.0,0.0,0.0,0.0,False,0,179
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0087890625,0.9921875,0.20166015625,0.0,0.0,0.0,False,0,180
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,177
-0.9852719902992249,-0.018300000578165054,0.1727519929409027,1.2074999809265137,-2.4937500953674316,1.3650000095367432,-0.15175999701023102,-0.05726000294089317,-0.34902000427246094,0.0,0.0,0.0,0.0,0.0,0.0,False,0,198
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0087890625,0.994140625,0.2021484375,0.0,0.0,0.0,False,0,199
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,196
-0.9918599724769592,-0.01903199963271618,0.17128799855709076,1.5049999952316284,-2.336250066757202,1.4350000619888306,-0.15372000634670258,-0.050119999796152115,-0.35923999547958374,0.0,0.0,0.0,0.0,0.0,0.0,False,0,215
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00146484375,0.998046875,0.19287109375,0.0,0.0,0.0,False,0,216
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,213
-0.9947879910469055,-0.021959999576210976,0.17348399758338928,1.6100000143051147,-2.4237499237060547,1.3825000524520874,-0.1524600088596344,-0.057120002806186676,-0.35322001576423645,0.0,0.0,0.0,0.0,0.0,0.0,False,0,232
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01123046875,0.98095703125,0.21923828125,0.0,0.0,0.0,False,0,233
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,230
-0.9962520003318787,-0.010247999802231789,0.18080399930477142,1.53125,-2.4412500858306885,1.3387500047683716,-0.15581999719142914,-0.057680003345012665,-0.34902000427246094,0.0,0.0,0.0,0.0,0.0,0.0,False,0,250
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02490234375,0.97265625,0.23193359375,0.0,0.0,0.0,False,0,251
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,248
-0.9852719902992249,-0.013175999745726585,0.16835999488830566,1.399999976158142,-2.40625,1.2337499856948853,-0.15637999773025513,-0.06006000190973282,-0.34929999709129333,0.0,0.0,0.0,0.0,0.0,0.0,False,0,267
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927734375,0.9951171875,0.21826171875,0.0,0.0,0.0,False,0,268
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,265
-0.986735999584198,-0.024156000465154648,0.17128799855709076,1.3387500047683716,-2.1700000762939453,1.399999976158142,-0.15861999988555908,-0.06202000007033348,-0.34846001863479614,0.0,0.0,0.0,0.0,0.0,0.0,False,0,285
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01025390625,0.990234375,0.21142578125,0.0,0.0,0.0,False,0,286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,283
-0.9977160096168518,-0.013907999731600285,0.18665999174118042,1.277500033378601,-2.266249895095825,1.4874999523162842,-0.14658001065254211,-0.05992000177502632,-0.3619000017642975,0.0,0.0,0.0,0.0,0.0,0.0,False,0,302
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00927734375,0.9990234375,0.21533203125,0.0,0.0,0.0,False,0,303
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,300
-0.9984479546546936,-0.020495999604463577,0.16909199953079224,1.4524999856948853,-2.3450000286102295,1.4524999856948853,-0.1530200093984604,-0.058800000697374344,-0.3507000207901001,0.0,0.0,0.0,0.0,0.0,0.0,False,0,319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048828125,0.9921875,0.21923828125,0.0,0.0,0.0,False,0,320
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,317
-0.9896639585494995,-0.0226919986307621,0.17348399758338928,1.8200000524520874,-2.432500123977661,1.4262499809265137,-0.14952000975608826,-0.06356000155210495,-0.3567200005054474,0.0,0.0,0.0,0.0,0.0,0.0,False,0,337
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.99560546875,0.20166015625,0.0,0.0,0.0,False,0,338
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,335
-0.9999119639396667,-0.0226919986307621,0.1786080002784729,1.5137499570846558,-2.4237499237060547,1.3125,-0.1526000052690506,-0.0609000027179718,-0.3498600125312805,0.0,0.0,0.0,0.0,0.0,0.0,False,0,354
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048828125,0.9853515625,0.203125,0.0,0.0,0.0,False,0,355
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,352
-0.9947879910469055,-0.01903199963271618,0.17714399099349976,1.5837500095367432,-2.887500047683716,1.3737499713897705,-0.15372000634670258,-0.05795999988913536,-0.35853999853134155,0.0,0.0,0.0,0.0,0.0,0.0,False,0,372
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.98486328125,0.20947265625,0.0,0.0,0.0,False,0,373
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,370
-0.9918599724769592,-0.018300000578165054,0.18592800199985504,1.3562500476837158,-2.1962499618530273,1.4612499475479126,-0.15372000634670258,-0.06006000190973282,-0.35294002294540405,0.0,0.0,0.0,0.0,0.0,0.0,False,0,389
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00146484375,0.97802734375,0.2060546875,0.0,0.0,0.0,False,0,390
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,387
-0.9984479546546936,-0.018300000578165054,0.1756799966096878,1.6012500524520874,-2.3887500762939453,1.4787499904632568,-0.15036000311374664,-0.060760002583265305,-0.35280001163482666,0.0,0.0,0.0,0.0,0.0,0.0,False,0,404
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005859375,1.0185546875,0.19140625,0.0,0.0,0.0,False,0,405
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,402
